📄 Список подписок:

Netflix — 788₽, дата: 12.01.2026, статус: Остановлена
Твич — 1455₽, дата: 13.12.2025, статус: Активна
Ютуб премиум — 456₽, дата: 24.07.2025, статус: Активна
Манга либ — 245₽, дата: 12.06.2025, статус: Активна
SoundCloud — 199₽, дата: 22.06.2025, статус: Активна
Facebook — 875₽, дата: 23.06.2025, статус: Активна
VR-Chat — 450₽, дата: 24.05.2025, статус: Активна
Talking Tom — 999₽, дата: 25.05.2025, статус: Остановлена
Okko — 1200₽, дата: 25.12.2025, статус: Активна
Яндекс — 599₽, дата: 01.05.2027, статус: Активна
Kinopoisk — 22200₽, дата: 25.12.2025, статус: Активна
VK Combo — 11200₽, дата: 25.12.2025, статус: Активна
VK Combo — 299₽, дата: 12.12.2026, статус: Активна
START — 599₽, дата: 13.12.2026, статус: Активна
